favorite_orig	underdog_orig	bowl_orig	bowl	year	month	day	hour	minute	datetime	date_order	spread_order	location	favorite	spread	underdog	favorite_abbrev	underdog_abbrev	winner
Arizona	New Mexico	New Mexico	New Mexico	2015	12	19	14	0	20151219140000	1	39	Albuquerque	Arizona	-10	New Mexico	Arizona	New Mexico	Arizona
Utah	BYU	Las Vegas	Las Vegas	2015	12	19	15	30	20151219153000	2	5	Las Vegas	Utah	-2	BYU	Utah	BYU	Utah
Appalachian State	Ohio	Camelia	Camellia	2015	12	19	17	30	20151219173000	3	35	Montgomery, AL	Appalachian State	-8.5	Ohio	Appalachian St.	Ohio	Appalachian State
San Jose State	Georgia State	Cure	Cure	2015	12	19	19	0	20151219190000	4	18	Orlando	San Jose State	-3.5	Georgia State	San Jose St.	Georgia St.	San Jose State
Louisiana Tech	Arkansas State	New Orleans	New Orleans	2015	12	19	21	0	20151219210000	5	6	New Orleans	Louisiana Tech	-2	Arkansas State	Louisiana Tech	Arkansas St.	Louisiana Tech
Western Kentucky	USF	Miami Beach	Miami Beach	2015	12	21	14	30	20151221143000	6	14	Miami	Western Kentucky	-3	South Florida	W. Kentucky	S. Florida	Western Kentucky
Utah State	Akron	Potato	Potato	2015	12	22	15	30	20151222153000	7	26	Boise, ID	Utah State	-6.5	Akron	Utah St.	Akron	Akron
Temple	Toledo	Boca Raton	Boca Raton	2015	12	22	19	0	20151222190000	8	7	Boca Raton, FL	Temple	-2	Toledo	Temple	Toledo	Toledo
Boise State	Northern Illinois	Poinsettia	Poinsettia	2015	12	23	16	30	20151223163000	9	36	San Diego	Boise State	-9	Northern Illinois	Boise St.	N. Illinois	
Bowling Green	Georgia Southern	GoDaddy	GoDaddy	2015	12	23	20	0	20151223200000	10	33	Mobile, AL	Bowling Green	-7	Georgia Southern	Bowling Green	Ga. Southern	
Western Michigan	Middle Tennessee	Bahamas	Bahamas	2015	12	24	12	0	20151224120000	11	10	Nassau, Bahamas	Western Michigan	-2.5	Middle Tennessee	W. Michigan	Middle Tenn.	
Cincinnati	San Diego State	Hawaii	Hawaii	2015	12	24	20	0	20151224200000	12	8	Honolulu	Cincinnati	-2	San Diego State	Cincinnati	San Diego St.	
Marshall	UConn	St. Petersburg	St. Petersburg	2015	12	26	11	0	20151226110000	13	19	St. Petersburg, FL	Marshall	-3.5	Connecticut	Marshall	UConn	
Miami	Washington State	Sun	Sun	2015	12	26	14	0	20151226140000	14	4	El Paso	Miami (Fla.)	-1.5	Washington State	Miami	Washington St.	
Washington	Southern Miss	Heart of Dallas	Heart of Dallas	2015	12	26	14	20	20151226142000	15	34	Dallas	Washington	-8	Southern Mississippi	Washington	Southern Miss	
Duke	Indiana	Pinstripe	Pinstripe	2015	12	26	15	30	20151226153000	16	11	New York City	Duke	-2.5	Indiana	Duke	Indiana	
Virginia Tech	Tulsa	Independence	Independence	2015	12	26	17	45	20151226174500	17	41	Shreveport, LA	Virginia Tech	-13	Tulsa	Virginia Tech	Tulsa	
UCLA	Nebraska	Foster Farms	Foster Farms	2015	12	26	21	15	20151226211500	18	24	Santa Clara, CA	UCLA	-6	Nebraska	UCLA	Nebraska	
Navy	Pitt	Military	Military	2015	12	28	14	30	20151228143000	19	20	Annapolis, MD	Navy	-3.5	Pittsburgh	Navy	Pitt	
Minnesota	Central Michigan	Quick Lane	Quick Lane	2015	12	28	17	0	20151228170000	20	25	Detroit	Minnesota	-6	Central Michigan	Minnesota	Central Mich.	
Cal	Air Force	Armed Forces	Armed Forces	2015	12	29	14	0	20151229140000	21	22	Fort Worth, TX	California	-5.5	Air Force	California	Air Force	
North Carolina	Baylor	Russell Athletic	Russell Athletic	2015	12	29	17	30	20151229173000	22	15	Orlando	North Carolina	-3	Baylor	North Carolina	Baylor	
Colorado State	Nevada	Arizona	Arizona	2015	12	29	19	30	20151229193000	23	16	Tucson	Colorado State	-3	Nevada	Colorado St.	Nevada	
LSU	Texas Tech	Texas	Texas	2015	12	29	21	0	20151229210000	24	27	Houston	LSU	-6.5	Texas Tech	LSU	Texas Tech	
Auburn	Memphis	Birmingham	Birmingham	2015	12	30	12	0	20151230120000	25	9	Birmingham, AL	Auburn	-2	Memphis	Auburn	Memphis	
Mississippi State	NC State	Belk	Belk	2015	12	30	15	30	20151230153000	26	23	Charlotte	Mississippi State	-5.5	North Carolina State	Mississippi St.	N. Carolina St.	
Texas A&M	Louisville	Music City	Music City	2015	12	30	19	0	20151230190000	27	12	Nashville	Texas A&M	-2.5	Louisville	Texas A&M	Louisville	
USC	Wisconsin	Holiday	Holiday	2015	12	30	22	30	20151230223000	28	17	San Diego	Southern California	-3	Wisconsin	Southern Cal	Wisconsin	
Florida State	Houston	Peach	Peach	2015	12	31	12	0	20151231120000	29	28	Atlanta	Florida State	-6.5	Houston	Florida St.	Houston	
Oklahoma	Clemson	Orange	Orange	2015	12	31	16	0	20151231160000	30	13	Miami	Oklahoma	-2.5	Clemson	Oklahoma	Clemson	
Alabama	Michigan State	Cotton	Cotton	2015	12	31	20	0	20151231200000	31	37	Arlington, TX	Alabama	-9.5	Michigan State	Alabama	Michigan St.	
Tennessee	Northwestern	Outback	Outback	2016	1	1	12	0	20160101120000	32	38	Tampa	Tennessee	-9.5	Northwestern	Tennessee	Northwestern	
Michigan	Florida	Citrus	Citrus	2016	1	1	13	0	20160101130000	33	21	Orlando	Michigan	-4	Florida	Michigan	Florida	
Ohio State	Notre Dame	Fiesta	Fiesta	2016	1	1	13	0	20160101130000	34	29	Glendale, AZ	Ohio State	-6.5	Notre Dame	Ohio St.	Notre Dame	
Stanford	Iowa	Rose	Rose	2016	1	1	17	0	20160101170000	35	30	Pasadena, CA	Stanford	-6.5	Iowa	Stanford	Iowa	
Ole Miss	Oklahoma State	Sugar	Sugar	2016	1	1	20	30	20160101203000	36	31	New Orleans	Ole Miss	-6.5	Oklahoma State	Ole Miss	Oklahoma St.	
Georgia	Penn State	TaxSlayer	TaxSlayer	2016	1	2	12	0	20160102120000	37	32	Jacksonville, FL	Georgia	-6.5	Penn State	Georgia	Penn St.	
Arkansas	Kansas State	Liberty	Liberty	2016	1	2	15	20	20160102152000	38	40	Memphis	Arkansas	-11.5	Kansas State	Arkansas	Kansas St.	
