bowl_orig	bowl	location_orig	location	date	time	year	month	day	hour	minute	datetime	date_order	favorite_orig	underdog_orig	spread	spread_order	favorite	favorite_abbrev	favorite_tiny	underdog	underdog_abbrev	underdog_tiny	winner	winner_score	loser_score
Celebration	Celebration	Atlanta, Ga.	Atlanta, GA	Dec. 16	Noon	2017	12	16	12	0	20171216120000	1	North Carolina A&T	Grambling State	-9.5	38	North Carolina A&T	NC A&T		Grambling St.					
New Orleans	New Orleans	New Orleans, La.	New Orleans, LA	Dec. 16	1 p.m.	2017	12	16	13	0	20171216130000	2	Troy	North Texas	-6	27	Troy			North Texas					
Cure	Cure	Orlando, Fla.	Orlando, FL	Dec. 16	2:30 p.m.	2017	12	16	14	30	20171216143000	3	Western Kentucky	Georgia State	-4.5	19	Western Kentucky	Western Kent.		Georgia St.					
Las Vegas	Las Vegas	Las Vegas, Nevada	Las Vegas, NV	Dec. 16	3:30 p.m.	2017	12	16	15	30	20171216153000	4	Oregon	Boise State	-5	23	Oregon			Boise St.					
New Mexico	New Mexico	Albuquerque, N.M.	Albuquerque, NM	Dec. 16	3:30 p.m.	2017	12	16	15	30	20171216153000	5	Colorado State	Marshall	-5.5	26	Colorado St.			Marshall					
Camellia	Camellia	Montgomery, Ala.	Montgomery, AL	Dec. 16	8 p.m.	2017	12	16	20	0	20171216200000	6	Arkansas State	Middle Tennessee State	-3.5	18	Arkansas St.			Middle Tennessee	Middle Tenn.				
Boca Raton 	Boca Raton	Boca Raton, Fla.	Boca Raton, FL	Dec. 19	7 p.m.	2017	12	19	19	0	20171219190000	7	FAU	Akron	-17	41	Florida Atlantic			Akron					
Frisco	Frisco	Frisco, Texas	Frisco, TX	Dec. 20	8 p.m.	2017	12	20	20	0	20171220200000	8	SMU	LA Tech	-5	24	SMU			Louisiana Tech					
Gasparilla	Gasparilla	St. Petersburg, Fla.	St. Petersburg, FL	Dec. 21	8 p.m.	2017	12	21	20	0	20171221200000	9	Temple	FIU	-8	34	Temple			Florida International					
Bahamas	Bahamas	Nassau, Bahamas	Nassau, Bahamas	Dec. 22	12:30 p.m.	2017	12	22	12	30	20171222123000	10	Ohio 	UAB	-8	35	Ohio			UAB					
Famous Idaho Potato	Potato	Boise, Idaho	Boise, ID	Dec. 22	4 p.m.	2017	12	22	16	0	20171222160000	11	Wyoming	Central Michigan	0	4	Wyoming			Central Michigan					
Birmingham	Birmingham	Birmingham, Ala.	Birmingham, AL	Dec. 23	Noon	2017	12	23	12	0	20171223120000	12	USF	Texas Tech	-2.5	9	South Florida			Texas Tech					
Armed Forces	Armed Forces	Fort Worth, Texas	Fort Worth, TX	Dec. 23	3:30 p.m.	2017	12	23	15	30	20171223153000	13	San Diego State	Army	-6	28	San Diego St.			Army					
Dollar General	Dollar General	Mobile, Ala.	Mobile, AL	Dec. 23	7 p.m.	2017	12	23	19	0	20171223190000	14	Toledo	Appalachian State	-7	32	Toledo			Appalachian St.					
Hawai'i 	Hawaii	Honolulu, Hawai'i	Honolulu, HI	Dec. 24	8:30 p.m.	2017	12	24	20	30	20171224203000	15	Houston	Fresno State	-1.5	7	Houston			Fresno St.					
Heart of Dallas	Heart of Dallas	Dallas, Texas	Dallas, TX	Dec. 26	1:20 p.m.	2017	12	26	13	20	20171226132000	16	Utah	West Virginia	-4.5	20	Utah			West Virginia					
Quick Lane	Quick Lane	Detroit, Mich.	Detroit, MI	Dec. 26	5:15 p.m.	2017	12	26	17	15	20171226171500	17	Duke	Northern Illinois	-2.5	10	Duke			Northern Illinois					
Cactus	Cactus	Phoenix, Ariz.	Phoenix, AZ	Dec. 26	10 p.m. ET	2017	12	26	22	0	20171226220000	18	Kansas State	UCLA	-3	13	Kansas St.			UCLA					
Independence	Independence	Shreveport, La.	Shreveport, LA	Dec. 27	1:30 p.m.	2017	12	27	13	30	20171227133000	19	Florida State	Southern Miss	-14	40	Florida St.			Southern Miss					
Pinstripe	Pinstripe	Bronx, N.Y.	New York, NY	Dec. 27	5:15 p.m.	2017	12	27	17	15	20171227171500	20	Iowa	Boston College	-3	14	Iowa			Boston College					
Foster Farms	Foster Farms	Santa Clara, Calif.	Santa Clara, CA	Dec. 27	8:30 p.m.	2017	12	27	20	30	20171227203000	21	Arizona	Purdue	-4.5	21	Arizona			Purdue					
Texas	Texas	Houston, Texas	Houston, TX	Dec. 27	9 p.m.	2017	12	27	21	0	20171227210000	22	Missouri	Texas	-1	6	Missouri			Texas					
Military	Military	Annapolis, Md.	Annapolis, MD	Dec. 28	1:30 p.m.	2017	12	28	13	30	20171228133000	23	Virginia	Navy	0	5	Virginia			Navy					
Camping World	Camping World	Orlando, Fla.	Orlando, FL	Dec. 28	5:15 p.m.	2017	12	28	17	15	20171228171500	24	Oklahoma State	Virginia Tech	-6.5	30	Oklahoma St.			Virginia Tech					
Alamo	Alamo	San Antonio, Texas	San Antonio, TX	Dec. 28	9 p.m.	2017	12	28	21	0	20171228210000	25	TCU	Stanford	-2	8	TCU			Stanford					
