bowl_orig	bowl	location	date	time	year	month	day	hour	minute	datetime	date_order	favorite_orig	underdog_orig	spread	spread_order	favorite	favorite_abbrev	favorite_tiny	underdog	underdog_abbrev	underdog_tiny	winner	winner_score	loser_score
Cure	Cure	Orlando, FL	Dec. 15	1:30 p.m. (CBSSN)	2018	12	15	13	30	20181215133000	1	Tulane	Louisiana	-4.5	21	Tulane			Louisiana			Tulane	41	24
New Mexico	New Mexico	Albuquerque, NM	Dec. 15	2 p.m. (ESPN)	2018	12	15	14	0	20181215140000	2	Utah State	N. Texas	-11	38	Utah St.			North Texas			Utah St.	52	13
Las Vegas	Las Vegas	Las Vegas, NV	Dec. 15	3:30 p.m. (ABC)	2018	12	15	15	30	20181215153000	3	Fresno State	Arizona State	-3	13	Fresno St.			Arizona St.			Fresno St.	31	20
Camellia	Camellia	Montgomery, AL	Dec. 15	5:30 p.m. (ESPN)	2018	12	15	17	30	20181215173000	4	E. Michigan	Ga. Southern	0	4	Eastern Michigan	E. Michigan		Georgia Southern	Ga. Southern		Georgia Southern	23	21
New Orleans	New Orleans	New Orleans, LA	Dec. 15	9 p.m. (ESPN)	2018	12	15	21	0	20181215210000	5	App. State	MTSU	-7.5	34	Appalachian St.	App. St.		Middle Tennessee	Middle Tenn.		Appalachian St.	45	13
Boca Raton	Boca Raton	Boca Raton, FL	Dec. 18	7 p.m. (ESPN)	2018	12	18	19	0	20181218190000	6	UAB	N. Illinois	-2.5	9	UAB			Northern Illinois			UAB	37	13
Frisco	Frisco	Frisco, TX	Dec. 19	8 p.m. (ESPN)	2018	12	19	20	0	20181219200000	7	Ohio	San Diego State	-5.5	24	Ohio			San Diego St.			Ohio	27	0
Gasparilla	Gasparilla	Tampa, FL	Dec. 20	8 p.m. (ESPN)	2018	12	20	20	0	20181220200000	8	Marshall	S. Florida	-3	14	Marshall			South Florida			Marshall	38	20
Bahamas	Bahamas	Nassau, Bahamas	Dec. 21	12:30 p.m. (ESPN)	2018	12	21	12	30	20181221123000	9	Toledo	FIU	-6	25	Toledo			Florida International			Florida International	35	32
Idaho Potato	Idaho Potato	Boise, ID	Dec. 21	4 p.m. (ESPN)	2018	12	21	16	0	20181221160000	10	BYU	W. Michigan	-8	37	BYU			Western Michigan			BYU	49	18
Birmingham	Birmingham	Birmingham, AL	Dec. 22	Noon (ESPN)	2018	12	22	12	0	20181222120000	11	Memphis	Wake Forest	-2	8	Memphis			Wake Forest			Wake Forest	37	34
Armed Forces	Armed Forces	Fort Worth, TX	Dec. 22	3:30 p.m. (ESPN)	2018	12	22	15	30	20181222153000	12	Army	Houston	-5	22	Army			Houston			Army	70	14
Dollar General	Dollar General	Mobile, AL	Dec. 22	7 p.m. (ESPN)	2018	12	22	19	0	20181222190000	13	Buffalo	Troy	-2.5	10	Buffalo			Troy			Troy	42	32
