name,Selection,Bowl,Favorite,Underdog,Confidence_Score
Caroline,Wash. State,Alamo,Wash. State,Iowa State,11
Caroline,Nevada,Arizona,Arkansas St.,Nevada,10
Caroline,Houston,Armed Forces,Army,Houston,15
Caroline,Toledo,Bahamas,Toledo,FIU,3
Caroline,South Carolina,Belk,South Carolina,Virginia,13
Caroline,Memphis,Birmingham,Memphis,Wake Forest,32
Caroline,N. Illinois,Boca Raton,UAB,N. Illinois,17
Caroline,Ga. Southern,Camellia,E. Michigan,Ga. Southern,1
Caroline,W. Virginia,Camping World,W. Virginia,Syracuse,35
Caroline,TCU,Cheez-It,California,TCU,28
Caroline,Penn State,Citrus,Penn State,Kentucky,30
Caroline,Clemson,Cotton,Clemson,Notre Dame,39
Caroline,Tulane,Cure,Tulane,Louisiana,6
Caroline,Buffalo,Dollar General,Buffalo,Troy,8
Caroline,LSU,Fiesta,LSU,UCF,29
Caroline,Boston College,First Responder,Boise State,Boston College,33
Caroline,Ohio,Frisco,Ohio,San Diego State,4
Caroline,S. Florida,Gasparilla,Marshall,S. Florida,18
Caroline,Hawaii,Hawaii,Hawaii,La. Tech,2
Caroline,Utah,Holiday,Utah,Northwestern,5
Caroline,BYU,Idaho Potato,BYU,W. Michigan,27
Caroline,Duke,Independence,Temple,Duke,34
Caroline,Arizona State,Las Vegas,Fresno State,Arizona State,7
Caroline,Missouri,Liberty,Missouri,Oklahoma State,24
Caroline,Cincinnati,Military,Cincinnati,Virginia Tech,23
Caroline,Purdue,Music City,Auburn,Purdue,14
Caroline,Clemson,National Championship,Winner of Cotton,Winner of Orange,40
Caroline,Utah State,New Mexico,Utah State,N. Texas,26
Caroline,App. State,New Orleans,App. State,MTSU,31
Caroline,Alabama,Orange,Alabama,Oklahoma,38
Caroline,Iowa,Outback,Mississippi State,Iowa,21
Caroline,Florida,Peach,Michigan,Florida,20
Caroline,Wisconsin,Pinstripe,Miami,Wisconsin,19
Caroline,Minnesota,Quick Lane,Georgia Tech,Minnesota,9
Caroline,Michigan State,Redbox,Michigan State,Oregon,16
Caroline,Ohio State,Rose,Ohio State,Washington,22
Caroline,Georgia,Sugar,Georgia,Texas,36
Caroline,Stanford,Sun,Stanford,Pittsburgh,25
Caroline,Texas A&M,Taxslayer,Texas A&M,NC State,37
Caroline,Baylor,Texas,Vanderbilt,Baylor,12
Derick,Wash. State,Alamo,Wash. State,Iowa State,19
Derick,Nevada,Arizona,Arkansas St.,Nevada,3
Derick,Army,Armed Forces,Army,Houston,30
Derick,Toledo,Bahamas,Toledo,FIU,6
Derick,South Carolina,Belk,South Carolina,Virginia,23
Derick,Wake Forest,Birmingham,Memphis,Wake Forest,21
Derick,UAB,Boca Raton,UAB,N. Illinois,27
Derick,Ga. Southern,Camellia,E. Michigan,Ga. Southern,13
Derick,Syracuse,Camping World,W. Virginia,Syracuse,11
Derick,California,Cheez-It,California,TCU,31
Derick,Penn State,Citrus,Penn State,Kentucky,26
Derick,Clemson,Cotton,Clemson,Notre Dame,39
Derick,Louisiana,Cure,Tulane,Louisiana,9
Derick,Troy,Dollar General,Buffalo,Troy,5
Derick,UCF,Fiesta,LSU,UCF,10
Derick,Boise State,First Responder,Boise State,Boston College,17
Derick,Ohio,Frisco,Ohio,San Diego State,1
Derick,Marshall,Gasparilla,Marshall,S. Florida,22
Derick,Hawaii,Hawaii,Hawaii,La. Tech,7
Derick,Northwestern,Holiday,Utah,Northwestern,8
Derick,W. Michigan,Idaho Potato,BYU,W. Michigan,2
Derick,Duke,Independence,Temple,Duke,15
Derick,Fresno State,Las Vegas,Fresno State,Arizona State,14
Derick,Oklahoma State,Liberty,Missouri,Oklahoma State,4
Derick,Cincinnati,Military,Cincinnati,Virginia Tech,25
Derick,Purdue,Music City,Auburn,Purdue,24
Derick,Clemson,National Championship,Winner of Cotton,Winner of Orange,40
Derick,Utah State,New Mexico,Utah State,N. Texas,35
Derick,App. State,New Orleans,App. State,MTSU,34
Derick,Alabama,Orange,Alabama,Oklahoma,38
Derick,Mississippi State,Outback,Mississippi State,Iowa,32
Derick,Michigan,Peach,Michigan,Florida,12
Derick,Wisconsin,Pinstripe,Miami,Wisconsin,28
Derick,Minnesota,Quick Lane,Georgia Tech,Minnesota,29
Derick,Oregon,Redbox,Michigan State,Oregon,36
Derick,Ohio State,Rose,Ohio State,Washington,33
Derick,Georgia,Sugar,Georgia,Texas,37
Derick,Stanford,Sun,Stanford,Pittsburgh,20
Derick,Texas A&M,Taxslayer,Texas A&M,NC State,16
Derick,Baylor,Texas,Vanderbilt,Baylor,18
Harper,Wash. State,Alamo,Wash. State,Iowa State,32
Harper,Nevada,Arizona,Arkansas St.,Nevada,13
Harper,Army,Armed Forces,Army,Houston,25
Harper,Toledo,Bahamas,Toledo,FIU,28
Harper,South Carolina,Belk,South Carolina,Virginia,31
Harper,Memphis,Birmingham,Memphis,Wake Forest,16
Harper,UAB,Boca Raton,UAB,N. Illinois,19
Harper,Ga. Southern,Camellia,E. Michigan,Ga. Southern,14
Harper,Syracuse,Camping World,W. Virginia,Syracuse,2
Harper,TCU,Cheez-It,California,TCU,12
Harper,Kentucky,Citrus,Penn State,Kentucky,11
Harper,Clemson,Cotton,Clemson,Notre Dame,39
Harper,Louisiana,Cure,Tulane,Louisiana,6
Harper,Buffalo,Dollar General,Buffalo,Troy,17
Harper,UCF,Fiesta,LSU,UCF,4
Harper,Boston College,First Responder,Boise State,Boston College,7
