bowl_orig	bowl	date	time	year	month	day	hour	minute	datetime	date_order	location	favorite_orig	spread	spread_order	underdog_orig	favorite_abbrev	favorite_tiny	underdog_abbrev	underdog_tiny	favorite	underdog	winner	winner_score	loser_score
Bahamas	Bahamas	Dec. 20	2 p.m. (ESPN)	2019	12	20	14	0	20191220140000	1	Nassau, Bahamas	Buffalo	-4.5	20	Charlotte					Buffalo	Charlotte	Buffalo	31	9
Frisco	Frisco	Dec. 20	7:30 p.m. (ESPN2)	2019	12	20	19	30	20191220193000	2	Frisco, TX	Utah State	-8	33	Kent State					Utah St.	Kent St.	Kent St.	51	41
New Mexico	New Mexico	Dec. 21	2 p.m. (ESPN)	2019	12	21	14	0	20191221140000	3	Albuquerque, NM	San Diego State	-4.5	21	Central Michigan			C. Michigan		San Diego St.	Central Michigan	San Diego St.	48	11
Cure	Cure	Dec. 21	2:30 p.m. (CBSSN)	2019	12	21	14	30	20191221143000	4	Orlando, FL	Georgia Southern	-6	23	Liberty					Georgia Southern	Liberty	Liberty	23	16
Boca Raton	Boca Raton	Dec. 21	3:30 p.m. (ABC)	2019	12	21	15	30	20191221153000	5	Boca Raton, FL	SMU	-3	9	FAU	SMU		FAU		Southern Methodist	Florida Atlantic	Florida Atlantic	52	28
Camellia	Camellia	Dec. 21	5:30 p.m. (ESPN)	2019	12	21	17	30	20191221173000	6	Montgomery, AL	Arkansas State	-3	10	FIU			FIU		Arkansas St.	Florida International	Arkansas St.	34	26
Las Vegas	Las Vegas	Dec. 21	7:30 p.m. (ABC)	2019	12	21	19	30	20191221193000	7	Las Vegas, NV	Washington	-3	11	Boise State 					Washington	Boise St. 	Washington	38	7
New Orleans	New Orleans	Dec. 21	9 p.m. (ESPN)	2019	12	21	21	0	20191221210000	8	New Orleans, LA	Appalachian State	-17.5	39	UAB					Appalachian St.	UAB	Appalachian St.	31	17
Gasparilla	Gasparilla	Dec. 23	2:30 p.m. (ESPN)	2019	12	23	14	30	20191223143000	9	Tampa, FL	UCF	-17.5	40	Marshall					Central Florida	Marshall	Central Florida	48	25
Hawaii	Hawaii	Dec. 24	8 p.m. (ESPN)	2019	12	24	20	0	20191224200000	10	Honolulu, HI	BYU	-2	5	Hawaii					BYU	Hawaii			
Independence	Independence	Dec. 26	4 p.m. (ESPN)	2019	12	26	16	0	20191226160000	11	Shreveport, LA	Miami (FL)	-7.5	30	Louisiana Tech					Miami (FL)	Louisiana Tech			
Quick Lane	Quick Lane	Dec. 26	8 p.m. (ESPN)	2019	12	26	20	0	20191226200000	12	Detroit, MI	Pitt	-9.5	36	Eastern Michigan					Pitt	Eastern Michigan			
Military	Military	Dec. 27	Noon (ESPN)	2019	12	27	12	0	20191227120000	13	Annapolis, MD	North Carolina	-6	24	Temple					North Carolina	Temple			
Pinstripe	Pinstripe	Dec. 27	3:20 p.m. (ESPN)	2019	12	27	15	20	20191227152000	14	New York, NY	Michigan State	-3.5	15	Wake Forest					Michigan St.	Wake Forest			
Texas	Texas	Dec. 27	6:45 p.m. (ESPN)	2019	12	27	18	45	20191227184500	15	Houston, TX	Texas A&M	-4	18	Oklahoma State					Texas A&M	Oklahoma St.			
Holiday	Holiday	Dec. 27	8 p.m. (FS1)	2019	12	27	20	0	20191227200000	16	San Diego, CA	Iowa	-2.5	8	USC					Iowa	USC			
Cheez-It	Cheez-It	Dec. 27	10:15 p.m. (ESPN)	2019	12	27	22	15	20191227221500	17	Phoenix, AZ	Air Force	-3	12	Washington State					Air Force	Washington St.			
Camping World	Camping World	Dec. 28	Noon (ABC)	2019	12	28	12	0	20191228120000	18	Orlando, FL	Notre Dame	-3.5	16	Iowa State					Notre Dame	Iowa St.			
Cotton	Cotton	Dec. 28	Noon (ESPN)	2019	12	28	12	0	20191228120000	19	Arlington, TX	Penn State	-7.5	31	Memphis					Penn St.	Memphis			
Peach Bowl	Peach	Dec. 28	4 p.m.	2019	12	28	16	0	20191228160000	20	Atlanta, GA	LSU	0	1	Oklahoma				Okla	LSU	Oklahoma			
Fiesta Bowl	Fiesta	Dec. 28	8 p.m.	2019	12	28	20	0	20191228200000	21	Glendale, AZ	Clemson	0	2	Ohio State		Clem			Clemson	Ohio St.			
First Responder	First Responder	Dec. 30	12:30 p.m. (ESPN)	2019	12	30	12	30	20191230123000	22	Dallas, TX	Western Kentucky	-2	6	Western Michigan	W. Kentucky		W. Michigan		Western Kentucky	Western Michigan			
Music City	Music City	Dec. 30	4 p.m. (ESPN)	2019	12	30	16	0	20191230160000	23	Nashville, TN	Mississippi State	-3.5	17	Louisville					Mississippi St.	Louisville			
Redbox	Redbox	Dec. 30	4 p.m. (FOX)	2019	12	30	16	0	20191230160000	24	Santa Clara, CA	Cal	-4	19	Illinois					California	Illinois			
Orange	Orange	Dec. 30	8 p.m. (ESPN)	2019	12	30	20	0	20191230200000	25	Miami, FL	Florida	-13.5	37	Virginia					Florida	Virginia			
Belk	Belk	Dec. 31	Noon (ESPN)	2019	12	31	12	0	20191231120000	26	Charlotte, NC	Virginia Tech	-3	13	Kentucky					Virginia Tech	Kentucky			
Tony the Tiger Sun	Sun	Dec. 31	2 p.m. (CBS)	2019	12	31	14	0	20191231140000	27	El Paso, TX	Arizona State	-4.5	22	Florida State					Arizona St.	Florida St.			
Liberty	Liberty	Dec. 31	3:45 p.m. (ESPN)	2019	12	31	15	45	20191231154500	28	Memphis, TN	Kansas State	-2	7	Navy					Kansas St.	Navy			
Arizona	Arizona	Dec. 31	4:30 p.m. (CBSSN)	2019	12	31	16	30	20191231163000	29	Tucson, AZ	Wyoming	-7	27	Georgia State					Wyoming	Georgia St.			
Alamo	Alamo	Dec. 31	7:30 p.m. (ESPN)	2019	12	31	19	30	20191231193000	30	San Antonio, TX	Utah	-6.5	25	Texas					Utah	Texas			
Citrus	Citrus	Jan. 1	1 p.m. (ABC)	2020	1	1	13	0	20200101130000	31	Orlando, FL	Alabama	-7	28	Michigan					Alabama	Michigan			
Outback	Outback	Jan. 1	1 p.m. (ESPN)	2020	1	1	13	0	20200101130000	32	Tampa, FL	Auburn	-8	34	Minnesota					Auburn	Minnesota			
